1000000,1000000,128,228403,638556042,394554033,16078303,12216314,1.62
1000000,100000,128,247592,691310291,388555243,16145295,12149460,1.78
100000,100,128,185169,506419971,182980114,11790379,405073,2.77
100000,10000,128,17548,38089886,38868162,1180674,906903,0.98
100000,100000,128,16944,35377168,39469283,1173663,973279,0.90
10000,1000,128,1276,2008500,3445928,48832,16294,0.58
10000,10000,128,1572,2707814,3954641,96852,31415,0.68
